2025-12-06 20:37:32 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:33 | WARNING  | django.request | Not Found: /api/network-data/
2025-12-06 20:37:33 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:34 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:37:35 | WARNING  | django.request | Not Found: /api/network-data/
2025-12-06 20:37:35 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:36 | WARNING  | django.request | Not Found: /api/network-data/
2025-12-06 20:37:36 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:38 | WARNING  | django.request | Not Found: /api/network-data/
2025-12-06 20:37:38 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:39 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:37:39 | WARNING  | django.request | Not Found: /api/network-data/
2025-12-06 20:37:39 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:41 | WARNING  | django.request | Not Found: /api/network-data/
2025-12-06 20:37:41 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:42 | WARNING  | django.request | Not Found: /api/network-data/
2025-12-06 20:37:42 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:44 | WARNING  | django.request | Not Found: /api/network-data/
2025-12-06 20:37:44 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:44 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:37:45 | WARNING  | django.request | Not Found: /api/network-data/
2025-12-06 20:37:45 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:47 | WARNING  | django.request | Not Found: /api/network-data/
2025-12-06 20:37:47 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:48 | WARNING  | django.request | Not Found: /api/network-data/
2025-12-06 20:37:48 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:49 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:37:50 | WARNING  | django.request | Not Found: /api/network-data/
2025-12-06 20:37:50 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:51 | WARNING  | django.request | Not Found: /api/network-data/
2025-12-06 20:37:51 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:53 | WARNING  | django.request | Not Found: /api/network-data/
2025-12-06 20:37:53 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:54 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:37:54 | WARNING  | django.request | Not Found: /api/network-data/
2025-12-06 20:37:54 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:56 | WARNING  | django.request | Not Found: /api/network-data/
2025-12-06 20:37:56 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:57 | WARNING  | django.request | Not Found: /api/network-data/
2025-12-06 20:37:57 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:59 | WARNING  | django.request | Not Found: /api/network-data/
2025-12-06 20:37:59 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:59 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:38:00 | WARNING  | django.request | Not Found: /api/network-data/
